BAWO,Bahama Woodstar (567 of 1222)
RUFH,Rufous-tailed Hummingbird (568 of 1222)
BEHU,Berylline Hummingbird (569 of 1222)
BUFH,Buff-bellied Hummingbird (570 of 1222)
VCHU,Violet-crowned Hummingbird (571 of 1222)
WEHU,White-eared Hummingbird (572 of 1222)
PREM,Puerto Rican Emerald (573 of 1222)
HYHU,Hybrid Hummingbird (574 of 1222)
UNHU,Unidentified Hummingbird (575 of 1222)
BBLH,Broad-billed Hummingbird (576 of 1222)
RTBE,Rose-throated Becard (577 of 1222)
FTFL,Fork-tailed Flycatcher (578 of 1222)
STFL,Scissor-tailed Flycatcher (579 of 1222)
EAKI,Eastern Kingbird (580 of 1222)
GRAK,Gray Kingbird (581 of 1222)
TBKI,Thick-billed Kingbird (582 of 1222)
LOKI,Loggerhead Kingbird (583 of 1222)
TRKI,Tropical Kingbird (584 of 1222)
COKI,Couch's Kingbird (585 of 1222)
WEKI,Western Kingbird (586 of 1222)
CAKI,Cassin's Kingbird (587 of 1222)
GKIS,Great Kiskadee (588 of 1222)
SBFL,Sulphur-bellied Flycatcher (589 of 1222)
GCFL,Great Crested Flycatcher (590 of 1222)
BCFL,Brown-crested Flycatcher (591 of 1222)
NUFL,Nutting's Flycatcher (592 of 1222)
ATFL,Ash-throated Flycatcher (593 of 1222)
DCFL,Dusky-capped Flycatcher (594 of 1222)
LSFL,La Sagra's Flycatcher (595 of 1222)
PRFL,Puerto Rican Flycatcher (596 of 1222)
STOF,Stolid Flycatcher (597 of 1222)
LESF,Lesser Antillean Flycatcher (598 of 1222)
EAPH,Eastern Phoebe (599 of 1222)
SAPH,Say's Phoebe (600 of 1222)
BLPH,Black Phoebe (601 of 1222)
OSFL,Olive-sided Flycatcher (602 of 1222)
GRPE,Greater Pewee (603 of 1222)
EAWP,Eastern Wood-Pewee (604 of 1222)
WEWP,Western Wood-Pewee (605 of 1222)
CUPE,Cuban Pewee (606 of 1222)
LAPE,Lesser Antillean Pewee (607 of 1222)
JAPE,Jamaican Pewee (608 of 1222)
HIPE,Hispaniolan Pewee (609 of 1222)
YBFL,Yellow-bellied Flycatcher (610 of 1222)
COFL,Cordilleran Flycatcher (611 of 1222)
PSFL,Pacific-slope Flycatcher (612 of 1222)
WEFL,Western Flycatcher (613 of 1222)
ACFL,Acadian Flycatcher (614 of 1222)
